iter	Passed	Remaining
630	27028	15806
631	27069	15762
632	27105	15715
633	27153	15675
634	27203	15636
635	27246	15593
636	27288	15550
637	27326	15504
638	27363	15458
639	27407	15416
640	27449	15373
641	27492	15330
642	27533	15286
643	27574	15243
644	27616	15199
645	27658	15156
646	27700	15113
647	27740	15069
648	27781	15025
649	27832	14986
650	27873	14942
651	27912	14898
652	27955	14855
653	27994	14810
654	28036	14767
655	28075	14722
656	28118	14679
657	28160	14636
658	28205	14595
659	28257	14557
660	28299	14513
661	28341	14470
662	28384	14427
663	28427	14385
664	28470	14342
665	28511	14298
666	28550	14253
667	28589	14209
668	28628	14164
669	28674	14123
670	28716	14079
671	28756	14035
672	28799	13993
673	28839	13948
674	28881	13905
675	28924	13863
676	28968	13821
677	29008	13777
678	29051	13734
679	29092	13690
680	29135	13647
681	29177	13604
682	29217	13560
683	29268	13521
684	29313	13479
685	29357	13437
686	29395	13392
687	29435	13348
688	29477	13305
689	29520	13262
690	29565	13221
691	29609	13178
692	29649	13134
693	29689	13090
694	29725	13045
695	29769	13002
696	29816	12961
697	29859	12918
698	29900	12875
699	29941	12832
700	29979	12787
701	30027	12746
702	30069	12703
703	30111	12660
704	30149	12615
705	30191	12572
706	30238	12531
707	30326	12507
708	30368	12464
709	30409	12420
710	30450	12377
711	30491	12333
712	30535	12291
713	30576	12247
714	30619	12205
715	30660	12161
716	30706	12120
717	30747	12076
718	30799	12037
719	30840	11993
720	30881	11949
721	30926	11907
722	30968	11864
723	31006	11819
724	31044	11775
725	31085	11731
726	31133	11691
727	31177	11648
728	31216	11604
729	31260	11561
730	31303	11519
731	31355	11480
732	31394	11435
733	31439	11393
734	31484	11351
735	31528	11309
736	31574	11267
737	31617	11224
738	31653	11179
739	31695	11136
740	31737	11092
741	31785	11052
742	31823	11007
743	31864	10964
744	31902	10919
745	31945	10876
746	31988	10834
747	32031	10791
748	32072	10748
749	32109	10703
750	32150	10659
751	32195	10617
752	32238	10574
753	32280	10531
754	32318	10487
755	32368	10447
756	32411	10404
757	32451	10360
758	32492	10317
759	32531	10273
760	32568	10228
761	32613	10186
762	32656	10143
763	32695	10099
764	32735	10055
765	32776	10012
766	32816	9969
767	32864	9927
768	32907	9885
769	32947	9841
770	32984	9796
771	33025	9753
772	33070	9711
773	33108	9667
774	33146	9623
775	33190	9580
776	33233	9537
777	33279	9496
778	33320	9452
779	33369	9412
780	33408	9367
781	33446	9324
782	33494	9282
783	33536	9239
784	33574	9195
785	33616	9152
786	33654	9108
787	33700	9066
788	33738	9022
789	33778	8979
790	33818	8935
791	33847	8889
792	33893	8847
793	33936	8804
794	33973	8760
795	34013	8717
796	34051	8673
797	34092	8629
798	34136	8587
799	34178	8544
800	34208	8498
801	34249	8455
802	34289	8412
803	34331	8369
804	34386	8329
805	34426	8286
806	34467	8243
807	34500	8198
808	34541	8155
809	34580	8111
810	34630	8070
811	34670	8027
812	34709	7983
813	34749	7940
814	34789	7896
815	34831	7854
816	34878	7812
817	34920	7769
818	34961	7726
819	35000	7683
820	35037	7639
821	35079	7596
822	35119	7553
823	35160	7510
824	35200	7466
825	35243	7424
826	35284	7381
827	35330	7339
828	35369	7295
829	35419	7254
830	35455	7210
831	35498	7167
832	35544	7125
833	35583	7082
834	35623	7039
835	35660	6995
836	35703	6952
837	35748	6910
838	35799	6869
839	35839	6826
840	35876	6782
841	35916	6739
842	35957	6696
843	36005	6655
844	36045	6611
845	36079	6567
846	36118	6524
847	36160	6481
848	36195	6437
849	36238	6395
850	36279	6352
851	36319	6309
852	36359	6266
853	36421	6226
854	36462	6183
855	36504	6140
856	36541	6097
857	36580	6054
858	36622	6011
859	36668	5969
860	36709	5926
861	36750	5883
862	36789	5840
863	36830	5797
864	36874	5754
865	36909	5711
866	36951	5668
867	36989	5625
868	37025	5581
869	37069	5539
870	37110	5496
871	37152	5453
872	37192	5410
873	37233	5367
874	37272	5324
875	37327	5283
876	37368	5240
877	37408	5198
878	37459	5156
879	37504	5114
880	37546	5071
881	37586	5028
882	37623	4985
883	37659	4941
884	37698	4898
885	37747	4856
886	37792	4814
887	37831	4771
888	37872	4728
889	37913	4685
890	37953	4643
891	38000	4600
892	38040	4558
893	38079	4514
894	38121	4472
895	38163	4429
896	38216	4388
897	38270	4346
898	38314	4304
899	38359	4262
900	38401	4219
901	38458	4178
902	38499	4135
903	38537	4092
904	38581	4049
905	38620	4007
906	38663	3964
907	38706	3921
908	38751	3879
909	38794	3836
910	38836	3794
911	38878	3751
912	38921	3708
913	38961	3665
914	39001	3623
915	39040	3580
916	39088	3537
917	39130	3495
918	39172	3452
919	39215	3410
920	39257	3367
921	39297	3324
922	39341	3281
923	39379	3239
924	39421	3196
925	39464	3153
926	39558	3115
927	39599	3072
928	39635	3029
929	39680	2986
930	39722	2944
931	39763	2901
932	39804	2858
933	39845	2815
934	39886	2772
935	39930	2730
936	39972	2687
937	40013	2644
938	40052	2601
939	40087	2558
940	40122	2515
941	40168	2473
942	40210	2430
943	40250	2387
944	40289	2344
945	40328	2302
946	40374	2259
947	40413	2216
948	40452	2173
949	40492	2131
950	40548	2089
951	40592	2046
952	40632	2003
953	40664	1960
954	40706	1918
955	40749	1875
956	40794	1832
957	40838	1790
958	40876	1747
959	40918	1704
960	40956	1662
961	41001	1619
962	41039	1576
963	41078	1534
964	41120	1491
965	41158	1448
966	41204	1406
967	41244	1363
968	41284	1320
969	41328	1278
970	41370	1235
971	41420	1193
972	41458	1150
973	41499	1107
974	41537	1065
975	41589	1022
976	41634	980
977	41674	937
978	41714	894
979	41751	852
980	41791	809
981	41838	766
982	41876	724
983	41916	681
984	41952	638
985	41995	596
986	42040	553
987	42081	511
988	42124	468
989	42167	425
990	42208	383
991	42256	340
992	42298	298
993	42336	255
994	42378	212
995	42422	170
996	42464	127
997	42506	85
998	42541	42
999	42594	0
