iter	Passed	Remaining
524	38207	34568
525	38270	34487
526	38338	34409
527	38411	34337
528	38476	34258
529	38547	34183
530	38617	34108
531	38682	34029
532	38751	33953
533	38823	33879
534	38896	33807
535	38960	33727
536	39039	33659
537	39119	33593
538	39199	33526
539	39276	33458
540	39348	33384
541	39416	33307
542	39488	33234
543	39558	33159
544	39628	33084
545	39707	33016
546	39776	32941
547	39844	32864
548	39915	32790
549	39983	32713
550	40055	32640
551	40136	32574
552	40215	32506
553	40287	32433
554	40371	32369
555	40440	32294
556	40515	32222
557	40590	32152
558	40663	32079
559	40738	32009
560	40809	31934
561	40876	31857
562	40950	31785
563	41032	31720
564	41111	31652
565	41183	31578
566	41254	31504
567	41322	31428
568	41387	31350
569	41453	31271
570	41527	31200
571	41591	31121
572	41652	31039
573	41723	30965
574	41798	30894
575	41866	30818
576	41943	30748
577	42009	30670
578	42090	30604
579	42176	30541
580	42255	30473
581	42326	30399
582	42398	30325
583	42461	30246
584	42531	30171
585	42599	30096
586	42673	30023
587	42745	29950
588	42820	29880
589	42879	29797
590	42953	29725
591	43024	29651
592	43097	29579
593	43176	29511
594	43257	29444
595	43330	29371
596	43402	29298
597	43468	29221
598	43553	29156
599	43627	29084
600	43696	29009
601	43770	28938
602	43837	28861
603	43911	28789
604	43989	28720
605	44064	28649
606	44144	28581
607	44213	28505
608	44294	28438
609	44368	28366
610	44443	28295
611	44505	28215
612	44587	28148
613	44664	28078
614	44748	28013
615	44818	27938
616	44886	27862
617	44950	27785
618	45028	27715
619	45095	27639
620	45171	27568
621	45243	27495
622	45321	27425
623	45404	27359
624	45474	27284
625	45549	27213
626	45620	27139
627	45690	27065
628	45761	26991
629	45829	26915
630	45906	26845
631	45984	26775
632	46055	26701
633	46124	26626
634	46203	26558
635	46299	26498
636	46390	26435
637	46461	26362
638	46548	26297
639	46620	26223
640	46711	26161
641	46790	26092
642	46857	26015
643	46933	25944
644	47002	25869
645	47072	25795
646	47134	25716
647	47218	25649
648	47297	25579
649	47368	25505
650	47439	25432
651	47516	25361
652	47594	25291
653	47675	25222
654	47757	25154
655	47842	25088
656	47919	25017
657	48001	24949
658	48086	24882
659	48172	24816
660	48258	24750
661	48332	24677
662	48420	24611
663	48491	24538
664	48569	24467
665	48627	24386
666	48701	24314
667	48772	24240
668	48863	24176
669	48945	24107
670	49032	24041
671	49120	23975
672	49208	23909
673	49299	23844
674	49388	23779
675	49457	23704
676	49541	23636
677	49623	23567
678	49702	23496
679	49777	23424
680	49850	23351
681	49924	23278
682	49994	23203
683	50072	23132
684	50150	23061
685	50229	22991
686	50314	22923
687	50396	22854
688	50473	22782
689	50549	22710
690	50616	22634
691	50687	22560
692	50760	22486
693	50834	22414
694	50913	22343
695	50988	22271
696	51061	22197
697	51140	22126
698	51222	22057
699	51308	21989
700	51375	21913
701	51447	21839
702	51518	21765
703	51587	21690
704	51669	21620
705	51741	21546
706	51807	21470
707	51886	21399
708	51976	21332
709	52047	21258
710	52126	21187
711	52201	21115
712	52280	21044
713	52359	20973
714	52440	20902
715	52518	20831
716	52600	20761
717	52671	20687
718	52742	20612
719	52820	20541
720	52903	20471
721	52978	20398
722	53064	20330
723	53148	20261
724	53229	20190
725	53304	20117
726	53375	20043
727	53451	19970
728	53512	19892
729	53598	19823
730	53677	19752
731	53762	19683
732	53839	19611
733	53912	19537
734	54006	19471
735	54087	19400
736	54173	19332
737	54265	19265
738	54359	19198
739	54435	19125
740	54512	19053
741	54590	18981
742	54678	18913
743	54761	18842
744	54836	18769
745	54914	18697
746	54997	18627
747	55077	18555
748	55162	18485
749	55245	18415
750	55335	18347
751	55416	18275
752	55511	18209
753	55600	18140
754	55685	18070
755	55787	18005
756	55884	17939
757	55972	17869
758	56071	17803
759	56156	17733
760	56241	17663
761	56331	17594
762	56428	17527
763	56517	17458
764	56610	17390
765	56710	17324
766	56808	17257
767	56905	17190
768	56993	17120
769	57079	17049
770	57165	16979
771	57246	16906
772	57332	16836
773	57460	16777
774	57541	16705
775	57619	16632
776	57706	16561
777	57785	16488
778	57873	16418
779	57962	16348
780	58051	16278
781	58130	16205
782	58227	16137
783	58310	16065
784	58398	15994
785	58498	15926
786	58588	15856
787	58679	15786
788	58767	15716
789	58856	15645
790	58948	15575
791	59036	15504
792	59120	15432
793	59203	15360
794	59298	15290
795	59696	15299
796	59871	15249
797	60069	15205
798	60845	15306
799	61064	15266
800	61680	15323
801	61875	15276
802	62063	15226
803	62321	15192
804	62682	15184
805	62836	15124
806	62961	15057
807	63065	14985
808	63234	14929
809	63323	14853
810	63423	14780
811	63659	14738
812	63781	14670
813	63916	14604
814	64052	14539
815	64164	14468
816	64289	14400
817	64401	14328
818	64483	14250
819	64563	14172
820	64645	14094
821	64717	14014
822	64788	13933
823	64872	13856
824	64955	13778
825	65040	13701
826	65125	13623
827	65201	13544
828	65280	13465
829	65359	13386
830	65433	13307
831	65499	13225
832	65575	13146
833	65652	13067
834	65737	12990
835	65819	12912
836	65897	12833
837	65979	12754
838	66063	12677
839	66148	12599
840	66230	12521
841	66331	12447
842	66413	12368
843	66493	12290
844	66566	12210
845	66653	12133
846	66737	12055
847	66817	11976
848	66916	11901
849	66997	11823
850	67095	11747
851	67216	11676
852	67317	11601
853	67418	11525
854	67515	11449
855	67610	11373
856	67699	11296
857	67798	11220
858	67886	11143
859	67968	11064
860	68023	10981
861	68104	10903
862	68191	10825
863	68273	10746
864	68357	10668
865	68426	10587
866	68503	10508
867	68580	10429
868	68661	10350
869	68738	10271
870	68816	10192
871	68891	10112
872	68965	10032
873	69029	9951
874	69116	9873
875	69195	9794
876	69278	9716
877	69362	9638
878	69435	9558
879	69505	9478
880	69590	9399
881	69663	9320
882	69740	9240
883	69808	9160
884	69890	9081
885	69964	9002
886	70044	8923
887	70119	8843
888	70206	8765
889	70285	8686
890	70351	8606
891	70429	8527
892	70508	8448
893	70583	8368
894	70660	8289
895	70739	8210
896	70832	8133
897	70915	8055
898	70990	7975
899	71071	7896
900	71169	7820
901	71277	7744
902	71367	7666
903	71467	7589
904	71547	7510
905	71626	7431
906	71716	7353
907	71820	7276
908	71909	7198
909	71996	7120
910	72075	7041
911	72167	6963
912	72270	6886
913	72365	6809
914	72449	6730
915	72524	6650
916	72617	6572
917	72716	6495
918	72791	6415
919	72879	6337
920	72953	6257
921	73017	6177
922	73082	6096
923	73164	6017
924	73231	5937
925	73297	5857
926	73365	5777
927	73436	5697
928	73500	5617
929	73574	5537
930	73640	5457
931	73711	5378
932	73781	5298
933	73848	5218
934	73913	5138
935	73981	5058
936	74046	4978
937	74120	4899
938	74194	4819
939	74263	4740
940	74332	4660
941	74404	4581
942	74473	4501
943	74543	4422
944	74613	4342
945	74690	4263
946	74763	4184
947	74838	4105
948	74905	4025
949	74979	3946
950	75048	3866
951	75127	3787
952	75186	3708
953	75266	3629
954	75335	3549
955	75405	3470
956	75485	3391
957	75553	3312
958	75626	3233
959	75696	3154
960	75770	3074
961	75842	2995
962	75920	2916
963	75990	2837
964	76058	2758
965	76132	2679
966	76204	2600
967	76273	2521
968	76346	2442
969	76414	2363
970	76485	2284
971	76556	2205
972	76624	2126
973	76686	2047
974	76754	1968
975	76824	1889
976	76894	1810
977	76975	1731
978	77042	1652
979	77119	1573
980	77192	1495
981	77262	1416
982	77339	1337
983	77407	1258
984	77474	1179
985	77548	1101
986	77624	1022
987	77700	943
988	77751	864
989	77816	786
990	77889	707
991	78006	629
992	78073	550
993	78146	471
994	78227	393
995	78293	314
996	78358	235
997	78426	157
998	78500	78
999	78566	0
